Fecha-hora;Temperatura máxima ºC;Temperatura media ºC;Temperatura mínima ºC;Humedad relativa med. %;Humedad relativa máx. %;Humedad relativa mín. %;Precipitación acumulada l/m²;Radiación global W/m²;Velocidad media viento 2 m m/s;Dirección viento 2 m (MODA) sector;,Fecha-hora;Temperatura máxima ºC;Temperatura mínima ºC;Humedad relativa máx. %;Humedad relativa mín. %;Precipitación acumulada l/m²;Radiación global W/m²;Velocidad media viento 2 m m/s;Dirección viento 2 m (MODA) sector;
01/01/2004 00:00:00;;;;;;;;;;,
02/01/2004 00:00:00;;;;;;;;;;,
03/01/2004 00:00:00;;;;;;;;;;,
04/01/2004 00:00:00;;;;;;;;;;,
05/01/2004 00:00:00;;;;;;;;;;,
06/01/2004 00:00:00;;;;;;;;;;,
07/01/2004 00:00:00;;;;;;;;;;,
08/01/2004 00:00:00;;;;;;;;;;,
09/01/2004 00:00:00;;;;;;;;;;,
10/01/2004 00:00:00;;;;;;;;;;,
11/01/2004 00:00:00;;;;;;;;;;,
12/01/2004 00:00:00;;;;;;;;;;,
13/01/2004 00:00:00;;;;;;;;;;,
14/01/2004 00:00:00;;;;;;;;;;,
15/01/2004 00:00:00;;;;;;;;;;,
16/01/2004 00:00:00;;;;;;;;;;,
17/01/2004 00:00:00;;;;;;;;;;,
18/01/2004 00:00:00;;;;;;;;;;,
19/01/2004 00:00:00;;;;;;;;;;,
20/01/2004 00:00:00;;;;;;;;;;,
21/01/2004 00:00:00;;;;;;;;;;,
22/01/2004 00:00:00;;;;;;;;;;,
23/01/2004 00:00:00;;;;;;;;;;,
24/01/2004 00:00:00;;;;;;;;;;,
25/01/2004 00:00:00;;;;;;;;;;,
26/01/2004 00:00:00;;;;;;;;;;,
27/01/2004 00:00:00;;;;;;;;;;,
28/01/2004 00:00:00;;;;;;;;;;,
29/01/2004 00:00:00;;;;;;;;;;,
30/01/2004 00:00:00;;;;;;;;;;,
31/01/2004 00:00:00;;;;;;;;;;,
01/02/2004 00:00:00;;;;;;;;;;,
02/02/2004 00:00:00;;;;;;;;;;,
03/02/2004 00:00:00;;;;;;;;;;,
04/02/2004 00:00:00;;;;;;;;;;,
05/02/2004 00:00:00;;;;;;;;;;,
06/02/2004 00:00:00;;;;;;;;;;,
07/02/2004 00:00:00;;;;;;;;;;,
08/02/2004 00:00:00;;;;;;;;;;,
09/02/2004 00:00:00;;;;;;;;;;,
10/02/2004 00:00:00;;;;;;;;;;,
11/02/2004 00:00:00;;;;;;;;;;,
12/02/2004 00:00:00;;;;;;;;;;,
13/02/2004 00:00:00;;;;;;;;;;,
14/02/2004 00:00:00;;;;;;;;;;,
15/02/2004 00:00:00;;;;;;;;;;,
16/02/2004 00:00:00;;;;;;;;;;,
17/02/2004 00:00:00;;;;;;;;;;,
18/02/2004 00:00:00;;;;;;;;;;,
19/02/2004 00:00:00;;;;;;;;;;,
20/02/2004 00:00:00;;;;;;;;;;,
21/02/2004 00:00:00;;;;;;;;;;,
22/02/2004 00:00:00;;;;;;;;;;,
23/02/2004 00:00:00;;;;;;;;;;,
24/02/2004 00:00:00;;;;;;;;;;,
25/02/2004 00:00:00;;;;;;;;;;,
26/02/2004 00:00:00;;;;;;;;;;,
27/02/2004 00:00:00;;;;;;;;;;,
28/02/2004 00:00:00;;;;;;;;;;,
29/02/2004 00:00:00;;;;;;;;;;,
01/03/2004 00:00:00;;;;;;;;;;,
02/03/2004 00:00:00;7.12;1.99;-2.85;64.03;88.3;44.83;0.0;182.76;4.64;294.4,
03/03/2004 00:00:00;12.26;3.02;-3.86;68.71;92.6;35.28;0.0;162.04;1.21;243.8,
04/03/2004 00:00:00;13.27;6.64;-0.44;75.2;93.9;46.69;0.4;106.71;1.17;238.5,
05/03/2004 00:00:00;13.49;8.57;3.58;80.0;96.5;52.48;0.0;71.66;1.36;257.9,
06/03/2004 00:00:00;13.8;9.21;5.18;72.7;91.8;55.97;0.2;161.92;3.74;289.3,
07/03/2004 00:00:00;12.39;6.77;0.9;68.65;92.2;44.6;0.0;194.68;3.09;288.0,
08/03/2004 00:00:00;11.13;6.14;0.57;65.09;89.8;42.47;0.0;172.8;3.61;281.5,
09/03/2004 00:00:00;13.85;7.36;1.71;56.04;81.8;27.33;0.0;192.71;1.77;277.2,
10/03/2004 00:00:00;9.13;5.88;1.5;72.3;83.8;64.93;0.2;79.62;2.61;288.6,
11/03/2004 00:00:00;13.87;6.24;-2.18;69.12;89.9;49.72;0.0;174.42;1.75;120.7,
12/03/2004 00:00:00;10.54;8.59;6.06;86.3;95.6;76.0;7.0;35.45;2.43;151.6,
13/03/2004 00:00:00;12.14;8.07;4.39;81.0;95.2;63.77;0.6;101.74;2.7;288.9,
14/03/2004 00:00:00;16.06;8.21;0.64;75.1;94.5;44.99;0.0;215.39;1.33;234.5,
15/03/2004 00:00:00;19.14;10.46;1.84;70.8;94.8;37.93;0.0;206.6;1.23;228.5,
16/03/2004 00:00:00;18.48;11.4;3.78;73.7;95.0;44.65;0.0;190.86;1.84;144.1,
17/03/2004 00:00:00;18.47;11.54;4.45;75.2;95.4;43.17;0.0;193.87;1.59;134.4,
18/03/2004 00:00:00;17.48;10.71;4.12;74.9;95.5;47.14;0.0;164.12;1.95;282.7,
19/03/2004 00:00:00;18.94;12.37;5.25;67.03;94.1;32.96;0.0;199.31;1.8;275.4,
20/03/2004 00:00:00;20.53;13.32;6.39;70.5;90.7;46.1;0.0;213.08;1.24;241.1,
21/03/2004 00:00:00;17.81;10.71;6.06;73.5;93.5;49.82;0.0;166.32;3.95;296.3,
22/03/2004 00:00:00;12.74;7.57;3.32;62.07;80.1;32.11;0.0;208.68;4.78;296.3,
23/03/2004 00:00:00;10.34;6.65;4.78;71.6;89.4;53.83;0.8;117.82;4.55;304.2,
24/03/2004 00:00:00;11.6;6.26;2.78;66.79;90.1;41.12;0.0;190.74;3.8;309.8,
25/03/2004 00:00:00;11.13;5.73;1.11;60.13;83.9;32.66;0.0;221.53;4.72;302.8,
